Symbol,Date,Open,High,Low,Last Price,Close,Average Price,Volume
IOC,22-Mar-19,159,159,159,159,159,159,1821855
IOC,22-Mar-19,158.8,161.25,155.1,155.25,157.05,157.71,31011781
IOC,25-Mar-19,157,165.9,155,164.15,164.35,161.21,23685632
IOC,26-Mar-19,165.1,169.75,160.5,161.95,161.8,165.08,26397138
IOC,27-Mar-19,162,163.7,160.4,161.15,161.45,161.81,10666251
IOC,28-Mar-19,162,164.1,160.35,162.25,161.3,162.01,29432533
IOC,29-Mar-19,163,165.1,162.2,162.85,162.85,163.02,24363007
IOC,1-Apr-19,163.1,163.8,156.8,158.7,158.7,158.69,20174629
IOC,2-Apr-19,158,159.9,157.05,158.55,158.15,158.57,10903166
IOC,3-Apr-19,158,159.65,153,153.45,153.45,155.35,10570399
IOC,4-Apr-19,154.5,156.1,153.35,155.3,155.2,154.73,9365107
IOC,5-Apr-19,155.75,159,155.4,158.85,158.45,157.68,8951614
IOC,8-Apr-19,157.4,157.4,151.7,152.1,152.05,154.2,12708062
IOC,9-Apr-19,149,156,148.8,155.3,155.4,153.38,15095801
IOC,10-Apr-19,154.75,158.35,153.45,156.55,156.6,156.08,8883968
IOC,11-Apr-19,156.6,161.8,156.15,157.9,157.95,158.85,15119968
IOC,12-Apr-19,158.85,159.7,155.05,155.55,155.35,156.52,14343500
IOC,15-Apr-19,156.8,158,153.3,154.15,154,154.66,9738383
IOC,16-Apr-19,155.6,158.5,153.75,155.6,155.7,156.11,11692744
IOC,18-Apr-19,157.45,157.45,154.15,156.2,156.1,155.98,9175855
IOC,22-Apr-19,152.5,152.75,148.85,149.9,149.75,150.03,12552321
IOC,23-Apr-19,149.4,150.9,146.85,149.6,149.4,148.63,8417128
IOC,24-Apr-19,151,154.15,150.45,153.55,153.8,153.02,11867517
IOC,25-Apr-19,153.6,155.45,151.85,153.1,152.7,153.07,28773110
IOC,26-Apr-19,153.9,157.1,151.5,153.4,152.85,154.4,11983996
IOC,30-Apr-19,155,159,153.65,158.5,158.05,155.98,14156261
IOC,2-May-19,159,160.3,156.2,157.65,158.1,158.01,11858590
IOC,3-May-19,159.95,160,155.7,155.9,156.15,157.73,6920322
IOC,6-May-19,157.5,158.4,155.15,156.15,156.7,157.18,7947973
IOC,7-May-19,156.7,156.7,152.2,153.75,153.45,153.63,8413961
IOC,8-May-19,154,155.2,151.7,152.15,152.2,153.66,5788594
IOC,9-May-19,152.2,152.95,150,150.55,150.6,151.08,4834865
IOC,10-May-19,149.9,150.25,147.05,147.5,147.6,148.38,7220841
IOC,13-May-19,146.2,147.85,142,142.75,142.6,144.79,9712869
IOC,14-May-19,142.6,144.85,141.5,144.35,143.6,142.88,9252786
IOC,15-May-19,145,147.15,143.8,144.9,145.75,145.34,12492965
IOC,16-May-19,144.3,152.3,143,151.4,151.15,147.77,11507435
IOC,17-May-19,150,152.65,146.85,148.45,149.6,149.6,22762517
IOC,20-May-19,155,158.85,151.1,157.55,157.65,156.21,12544327
IOC,21-May-19,158,159.25,152.4,153.55,153.5,154.41,8646559
IOC,22-May-19,155,156.75,152.25,155.7,155.45,154.96,8699597
IOC,23-May-19,158.5,160.2,153.4,154.75,154.2,157.09,14440150
IOC,24-May-19,159,159.85,154.3,157,156.8,156.79,16976732
IOC,27-May-19,156,162.85,155.4,162.1,162.2,159.95,12472892
IOC,28-May-19,162,164,160.1,163.9,163.45,162.9,16148042
IOC,29-May-19,164.6,164.9,159.4,160.65,160.35,160.9,8732638
IOC,30-May-19,160.5,163.4,159.4,161.2,161.95,161.77,21433409
IOC,31-May-19,164,168.8,162.95,165.3,165.55,166,21171057
IOC,3-Jun-19,167.8,170.75,167.05,169.6,169.7,169.14,18448513
IOC,4-Jun-19,170,170,164.7,165.9,165.35,167.29,9515155
IOC,6-Jun-19,167.3,168.75,161.75,163.2,163.55,164.7,10111320
IOC,7-Jun-19,163,164.75,161.65,163.7,163.8,163.49,6316945
IOC,10-Jun-19,163.4,163.5,159.15,161.15,160.65,160.9,6905925
IOC,11-Jun-19,161.1,162.95,159.3,162.5,162.5,160.95,5443668
IOC,12-Jun-19,163,163.4,161.1,162.5,162.55,162.58,4710283
IOC,13-Jun-19,163.2,163.5,158.05,160.4,160.7,161.17,7870399
IOC,14-Jun-19,160.1,161.55,158.7,159.65,159.8,160.18,4456656
IOC,17-Jun-19,159.65,159.7,154.55,155.15,155.3,156.61,4676014
IOC,18-Jun-19,154.8,158,153.9,157.6,157.65,156.53,4915688
IOC,19-Jun-19,155.95,157.55,152.8,154.35,154.4,154.86,4788995
IOC,20-Jun-19,154.4,157.25,154.4,156.9,156.75,156.22,4719691
IOC,21-Jun-19,153.95,156.35,153.3,153.75,153.85,154.25,12256650
IOC,24-Jun-19,153.1,154,150.8,152,152.05,151.69,5588771
IOC,25-Jun-19,152.05,155,151.75,154.5,154.6,153.79,5768459
IOC,26-Jun-19,153.1,155.65,152.55,154.95,154.95,154.19,6276777
IOC,27-Jun-19,154.75,157.35,154.5,157.3,156.6,156.46,17955015
IOC,28-Jun-19,157.3,158,155.55,155.75,155.9,156.79,6998831
IOC,1-Jul-19,155.9,156.2,149.3,152.1,151.65,152.2,12534939
IOC,2-Jul-19,152.55,154.95,151.5,154.7,154.7,153.27,7110384
IOC,3-Jul-19,155.95,157.2,155.2,156.4,156.15,156.08,7300662
IOC,4-Jul-19,155.5,157.1,155.3,156.7,156.55,156.23,3433538
IOC,5-Jul-19,157.5,157.5,148.95,152.1,152.2,152.33,13934319
IOC,8-Jul-19,150.9,151.35,143.45,144.2,144.05,145.71,11965521
IOC,9-Jul-19,144,152.7,143.8,152.3,151.4,149.92,32532552
IOC,10-Jul-19,150.5,151.85,144.6,148.15,148.15,148.23,12575054
IOC,11-Jul-19,147.5,148.8,145.75,147,147.9,147.34,11238050
IOC,12-Jul-19,147,147.9,144.2,145.55,146.85,146.79,33350342
IOC,15-Jul-19,145.85,147.35,144.5,145.2,145.4,145.93,8158174
